data_registro,nome_teste,descricao,parceiro,periodo_inicio,periodo_fim,grupos,baseline,vencedor,conclusivo,margem_dia_vencedor,lift_margem_vs_baseline_pct,resultado_resumo,decisao,link_relatorio
2026-07-15 00:31,Cashback Parceiro A,"Teste de 3 niveis de cashback no Parceiro A (jan-abr/2011): Grupo 1 (~4%), Grupo 2 (~5,5%), Grupo 3 (~7%), pra decidir qual escalar.",Parceiro A,2011-01-01,2011-04-02,"Grupo 1, Grupo 2, Grupo 3",Grupo 1,Grupo 1,Sim,4399.03,0.0,"Margem/dia: Grupo 1=R$4,399, Grupo 2=R$3,886, Grupo 3=R$2,873. Compradores/dia: Grupo 1=105, Grupo 2=118, Grupo 3=124.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_a.md
2026-07-15 00:31,Cashback Parceiro B,"Teste de 3 niveis de cashback no Parceiro B (mai-jun/2011): Grupo 1 (~4%), Grupo 2 (~6%), Grupo 3 (~9%).",Parceiro B,2011-05-01,2011-06-30,"Grupo 1, Grupo 2, Grupo 3",Grupo 1,Grupo 1,Sim,4697.87,0.0,"Margem/dia: Grupo 1=R$4,698, Grupo 2=R$2,347, Grupo 3=R$862. Compradores/dia: Grupo 1=131, Grupo 2=89, Grupo 3=82.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_b.md
2026-07-15 00:31,Cashback Parceiro C,"Teste de 2 niveis de cashback no Parceiro C (jul-ago/2011): Grupo 1 (~5%) vs Grupo 2 (~7%, ficou em breakeven).",Parceiro C,2011-07-01,2011-08-14,"Grupo 1, Grupo 2",Grupo 1,Grupo 1,Sim,772.64,0.0,"Margem/dia: Grupo 1=R$773, Grupo 2=R$0. Compradores/dia: Grupo 1=101, Grupo 2=100.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_c.md
2026-07-15 12:00,Cashback Parceiro A,Teste de 3 níveis de cashback no Parceiro A.,Parceiro A,2011-01-01,2011-04-02,"Grupo 1, Grupo 2, Grupo 3",Grupo 1,Grupo 1,Sim,4399.03,0.0,"Margem/dia: Grupo 1=R$4,399, Grupo 2=R$3,886, Grupo 3=R$2,873. Compradores/dia: Grupo 1=105, Grupo 2=118, Grupo 3=124.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_a.md
2026-07-15 12:00,Cashback Parceiro B,Teste de 3 níveis de cashback no Parceiro B.,Parceiro B,2011-05-01,2011-06-30,"Grupo 1, Grupo 2, Grupo 3",Grupo 1,Grupo 1,Sim,4697.87,0.0,"Margem/dia: Grupo 1=R$4,698, Grupo 2=R$2,347, Grupo 3=R$862. Compradores/dia: Grupo 1=131, Grupo 2=89, Grupo 3=82.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_b.md
2026-07-15 12:00,Cashback Parceiro C,Teste de 2 níveis de cashback no Parceiro C.,Parceiro C,2011-07-01,2011-08-14,"Grupo 1, Grupo 2",Grupo 1,Grupo 1,Sim,772.64,0.0,"Margem/dia: Grupo 1=R$773, Grupo 2=R$0. Compradores/dia: Grupo 1=101, Grupo 2=100.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_c.md
2026-07-15 13:17,Cashback Parceiro A,Teste de 3 níveis de cashback no Parceiro A.,Parceiro A,2011-01-01,2011-04-02,"Grupo 1, Grupo 2, Grupo 3",Grupo 1,Grupo 1,Sim,4399.03,0.0,"Margem/dia: Grupo 1=R$4,399, Grupo 2=R$3,886, Grupo 3=R$2,873. Compradores/dia: Grupo 1=105, Grupo 2=118, Grupo 3=124.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_a.md
2026-07-15 13:18,Cashback Parceiro A,Teste de 3 níveis de cashback no Parceiro A.,Parceiro A,2011-01-01,2011-04-02,"Grupo 1, Grupo 2, Grupo 3",Grupo 1,Grupo 1,Sim,4399.03,0.0,"Margem/dia: Grupo 1=R$4,399, Grupo 2=R$3,886, Grupo 3=R$2,873. Compradores/dia: Grupo 1=105, Grupo 2=118, Grupo 3=124.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_a.md
2026-07-15 13:18,Cashback Parceiro B,...,Parceiro B,2011-05-01,2011-06-30,"Grupo 1, Grupo 2, Grupo 3",Grupo 1,Grupo 1,Sim,4697.87,0.0,"Margem/dia: Grupo 1=R$4,698, Grupo 2=R$2,347, Grupo 3=R$862. Compradores/dia: Grupo 1=131, Grupo 2=89, Grupo 3=82.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_b.md
2026-07-15 13:18,Cashback Parceiro C,...,Parceiro C,2011-07-01,2011-08-14,"Grupo 1, Grupo 2",Grupo 1,Grupo 1,Sim,772.64,0.0,"Margem/dia: Grupo 1=R$773, Grupo 2=R$0. Compradores/dia: Grupo 1=101, Grupo 2=100.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_c.md
2026-07-15 13:42,Cashback Parceiro B,Teste do uso do Git com o Google Sheets,Parceiro B,2011-05-01,2011-06-30,"Grupo 1, Grupo 2, Grupo 3",Grupo 1,Grupo 1,Sim,4697.87,0.0,"Margem/dia: Grupo 1=R$4,698, Grupo 2=R$2,347, Grupo 3=R$862. Compradores/dia: Grupo 1=131, Grupo 2=89, Grupo 3=82.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_b.md
2026-07-15 13:43,Cashback Parceiro B,Teste do uso do Git com o Google Sheets,Parceiro B,2011-05-01,2011-06-30,"Grupo 1, Grupo 2, Grupo 3",Grupo 1,Grupo 1,Sim,4697.87,0.0,"Margem/dia: Grupo 1=R$4,698, Grupo 2=R$2,347, Grupo 3=R$862. Compradores/dia: Grupo 1=131, Grupo 2=89, Grupo 3=82.",Escalar Grupo 1 para 100% do tráfego.,reports/cashback_parceiro_b.md
